Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
327574,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-210.369,-408.178,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
327572,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-210.963,-408.462,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327564,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-210.583,-408.333,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327563,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-209.304,-407.981,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
327562,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-211.387,-408.763,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
327534,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-11-03,-208.058,-406.546,Aves,Charadriiformes,Rynchops niger,Não,Arenoso,Morto,Anchieta
327414,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-208.943,-40.774,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
327413,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-211.357,-40.871,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327411,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-211.059,-408.507,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327409,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-210.259,-408.116,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327369,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-11-02,-208.344,-406.224,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Anchieta
327314,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-01,-209.076,-40.782,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
327234,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-01,-212.178,-409.426,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Presidente Kennedy
327208,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-11-01,-2.030.306,-402.897,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vitória
327053,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-31,-211.575,-408.943,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326921,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-30,-204.707,-403.437,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Vila Velha
326920,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-212.792,-40.962,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326918,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-211.338,-408.684,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326916,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-21.063,-40.835,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
326914,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-210.653,-408.356,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326913,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-208.875,-40.765,Reptilia,Testudines,Chelonia mydas,Não,Água,Morto,Itapemirim
326912,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-208.802,-40.76,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Itapemirim
326779,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-29,-229.443,-421.837,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Arraial do Cabo
326753,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-29,-211.351,-408.701,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326657,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-28,-212.955,-409.594,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326655,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-28,-211.585,-408.962,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326651,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-28,-211.328,-408.663,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326404,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-27,-211.325,-40.865,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326398,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-27,-210.317,-408.125,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326210,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-211.376,-408.747,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326207,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-21.297,-409.591,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Presidente Kennedy
326202,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-212.735,-409.622,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326201,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-210.758,-408.382,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326200,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-21.06,-408.338,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326075,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-25,-1.880.925,-3.974.874,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,São Mateus
326009,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-25,-212.811,-409.624,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326008,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-25,-20.875,-407.619,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325895,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-10-24,-208.397,-406.275,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
325871,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-24,-212.705,-40.962,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Presidente Kennedy
325853,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-24,-210.608,-40.834,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325662,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-23,-211.868,-409.242,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325658,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-23,-208.771,-407.617,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Itapemirim
325634,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-23,-188.981,-397.444,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,São Mateus
325518,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-22,-204.341,-403.253,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Vila Velha
325488,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-22,-211.326,-40.866,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325487,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-22,-212.385,-409.543,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
325457,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-22,-210.314,-408.125,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
