Código,Instituição executora,Estado,Cidade,Praia,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição
326873,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-30,-25.024.862,-47.880.487,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326745,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-29,-248.113.893,-476.410.058,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326744,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-29,-249.998.791,-478.629.412,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326596,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-247.480.176,-47.546.379,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto
326595,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-248.352.938,-476.730.876,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
326594,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-249.161.321,-477.766.486,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326593,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-250.042.952,-478.669.243,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
326592,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-250.253.095,-478.810.015,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326339,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-27,-248.721.866,-477.219.637,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326338,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-27,-2.483.463,-476.723.258,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
326139,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-26,-249.805.074,-478.467.845,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
326001,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-25,-248.015.956,-476.274.736,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
326000,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-25,-249.383.833,-478.036.287,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
325880,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-24,-250.329.782,-478.841.686,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Vivo
325875,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-24,-248.963.278,-477.520.073,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325874,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-24,-249.454.288,-478.112.295,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325873,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-24,-249.920.453,-478.567.144,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325681,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-24.848.221,-476.899.097,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325680,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-249.264.095,-477.887.567,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325679,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-249.979.037,-478.615.782,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325678,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-250.279.568,-478.822.838,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325677,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-250.506.586,-478.895.827,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
