Código,Instituição executora,Estado,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
313288,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-31,-496.381,-3.686.509,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Porto do Mangue
313286,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2024-07-20,-4.941,-3.706.571,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Areia Branca
313284,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Vazante,2024-07-25,-482.315,-3.725.742,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
313278,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazia,2024-07-19,-470.987,-3.731.571,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
313277,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-17,-486.571,-3.723.253,Reptilia,Testudines,Chelonia mydas,Não,Água,Morto,Tibau
313258,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2024-07-12,-477.669,-3.727.384,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
313257,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Cheia,2024-07-12,-48.305.956,-372.532.615,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
313254,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-12,-489.957,-3.720.688,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
310783,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-31,-488.902,-3.721.629,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
310779,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazia,2024-07-31,-490.883,-3.719.622,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
310322,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-30,-472.597,-3.729.935,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
310321,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Enchente,2024-07-30,-482.775,-3.725.512,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
310320,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-30,-489.974,-3.720.639,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
309766,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Indeterminado,2024-07-01,-452.985,-3.769.569,Reptilia,Testudines,Chelonia mydas,Não,Outros,Morto,Aracati
308855,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Indeterminado,2024-07-24,-50.577.799,-367.744.535,Aves,Pelecaniformes,Nycticorax nycticorax,Não,Outros,Vivo,Porto do Mangue
307910,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2024-07-23,-491.688,-3.718.225,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
307681,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Vazante,2024-07-22,-482.645,-3.725.585,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
307362,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Vazante,2024-07-21,-481.734,-3.725.987,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
307263,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-19,-509.625,-3.615.294,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Galinhos
307181,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Enchente,2024-07-20,-482.429,-3.725.662,Reptilia,Testudines,Chelonia mydas,Não,Água,Morto,Icapuí
307180,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2024-07-20,-470.803,-3.731.777,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
306529,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-18,-475.557,-3.727.856,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
306054,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-14,-508.693,-3.637.999,Reptilia,Testudines,Lepidochelys olivacea,Não,Água,Vivo,Guamaré
306052,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-14,-508.693,-3.637.999,Reptilia,Testudines,Lepidochelys olivacea,Não,Água,Vivo,Guamaré
306010,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2024-07-07,-509.566,-361.905,Reptilia,Testudines,Lepidochelys olivacea,Não,Água,Vivo,Galinhos
305764,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-16,-462.858,-375.044,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
305762,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-16,-476.304,-3.727.742,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
305544,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-15,-463.382,-3.749.006,Reptilia,Testudines,Chelonia mydas,Não,Água,Morto,Icapuí
305542,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-15,-47.769.391,-372.736.877,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
305256,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Enchente,2024-07-14,-481.799,-372.594,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
305240,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-14,-47.552,-3.728.008,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
305238,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2024-07-14,-494.153,-3.716.069,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
304934,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2024-07-13,-477.683,-3.727.375,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
304060,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2024-07-11,-462.715,-375.001,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
