Código,Instituição executora,Estado,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
325581,Biota,Alagoas,Diário,Vazante,2024-10-22,-1.038.249,-363.215.983,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
325580,Biota,Alagoas,Diário,Vazante,2024-10-22,-103.717.217,-363.134.683,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
325489,TAMAR,Sergipe,Diário,Enchente,2024-10-22,-110.581.917,-3.709.627,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Aracaju
325456,TAMAR,Bahia,Diário,Enchente,2024-10-22,-114.830.733,-373.694.517,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Jandaíra
325410,TAMAR,Sergipe,Diário,Enchente,2024-10-22,-105.369,-36.494,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Brejo Grande
325237,Biota,Alagoas,Diário,Vazante,2024-10-21,-103.687.517,-3.631.094,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piaçabuçu
325209,TAMAR,Sergipe,Diário,Vazante,2024-10-21,-107.658.726,-368.761.615,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
325208,TAMAR,Sergipe,Diário,Vazante,2024-10-21,-107.606.557,-368.712.723,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Vivo,Barra dos Coqueiros
325202,TAMAR,Sergipe,Diário,Vazante,2024-10-21,-109.312.567,-370.158.517,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
325176,TAMAR,Sergipe,Diário,Vazante,2024-10-21,-106.403.487,-366.937.711,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Brejo Grande
325053,TAMAR,Sergipe,Diário,Vazante,2024-10-20,-1.102.996,-370.769.617,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
325023,TAMAR,Sergipe,Diário,Vazante,2024-10-20,-111.833.596,-371.700.721,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Estância
324751,Biota,Alagoas,Diário,Vazante,2024-10-18,-10.451.045,-363.602.733,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Piaçabuçu
324749,Biota,Alagoas,Diário,Vazante,2024-10-18,-103.616.725,-363.029.048,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piaçabuçu
324699,TAMAR,Sergipe,Diário,Vazante,2024-10-17,-108.208.625,-369.256.038,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
324676,TAMAR,Sergipe,Acionamento,Enchente,2024-10-17,-11.439.519,-373.352.509,Reptilia,Testudines,Chelonia mydas,Não,Água,Vivo,Estância
324637,Biota,Alagoas,Diário,Vazante,2024-10-17,-104.646.883,-363.690.817,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
324636,Biota,Alagoas,Diário,Vazante,2024-10-17,-104.553,-363.630.183,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
324624,TAMAR,Sergipe,Diário,Vazante,2024-10-17,-111.314.417,-371.434.433,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
324573,TAMAR,Sergipe,Diário,Vazante,2024-10-16,-110.687.717,-3.710.365,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
324572,TAMAR,Sergipe,Diário,Vazante,2024-10-16,-110.646.183,-3.710.081,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
324514,TAMAR,Sergipe,Diário,Vazante,2024-10-16,-109.174.533,-370.063.567,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
324503,TAMAR,Sergipe,Diário,Vazante,2024-10-15,-1.110.379,-37.127.495,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
324502,TAMAR,Sergipe,Diário,Vazante,2024-10-15,-1.109.669,-371.229.233,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
324501,TAMAR,Sergipe,Diário,Vazante,2024-10-15,-11.092.045,-371.197.217,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
324372,Biota,Alagoas,Diário,Vazante,2024-10-15,-103.540.717,-3.629.405,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
324273,TAMAR,Bahia,Diário,Enchente,2024-10-14,-1.151.271,-373.921.633,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Jandaíra
324025,TAMAR,Sergipe,Diário,Vazante,2024-10-13,-107.849.399,-368.939.058,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
324003,Biota,Alagoas,Diário,Vazante,2024-10-13,-104.621.533,-363.672.867,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
324002,Biota,Alagoas,Diário,Vazante,2024-10-13,-104.608.267,-3.636.638,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
323822,Biota,Alagoas,Diário,Vazante,2024-10-12,-104.614.467,-363.667.617,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
323804,Biota,Alagoas,Diário,Vazante,2024-10-11,-104.569.917,-36.363.865,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
323803,Biota,Alagoas,Diário,Vazante,2024-10-11,-103.714.883,-36.312.915,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
323547,Biota,Alagoas,Diário,Vazante,2024-10-10,-104.823.867,-363.800.755,Reptilia,Testudines,Eretmochelys imbricata,Sim,Arenoso,Morto,Piaçabuçu
323311,TAMAR,Bahia,Diário,Vazante,2024-10-09,-116.736.683,-37.478.025,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Jandaíra
323306,FMA,Sergipe,Diário,Enchente,2024-10-08,-109.700.417,-370.349.367,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Aracaju
323282,Biota,Alagoas,Diário,Vazante,2024-10-09,-1.036.778,-363.100.567,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piaçabuçu
323242,TAMAR,Sergipe,Diário,Vazante,2024-10-07,-110.710.867,-371.050.717,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
323199,TAMAR,Sergipe,Diário,Enchente,2024-10-06,-109.275.225,-370.130.682,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
323191,FMA,Sergipe,Diário,Vazia,2024-10-08,-110.455.533,-3.708.765,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Aracaju
323184,FMA,Sergipe,Diário,Vazante,2024-10-08,-11.405.235,-373.138.561,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo,Estância
323144,Biota,Alagoas,Diário,Vazante,2024-10-08,-103.916.633,-363.276.617,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
323069,TAMAR,Sergipe,Diário,Vazante,2024-10-08,-109.167.489,-37.005.743,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
322934,TAMAR,Bahia,Diário,Enchente,2024-10-07,-120.627.017,-376.685.217,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Conde
322826,Biota,Alagoas,Diário,Vazante,2024-10-06,-104.344.949,-363.515.534,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
322700,IMA,Bahia,Diário,Vazante,2024-10-05,-1.186.185,-3.756.825,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Conde
322635,IMA,Bahia,Diário,Vazante,2024-10-04,-115.790.067,-374.303.117,Mammalia,Cetacea,Megaptera novaeangliae,Não,Arenoso,Morto,Jandaíra
322607,TAMAR,Sergipe,Diário,Vazante,2024-10-04,-110.566.583,-370.952.667,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
322571,Biota,Alagoas,Diário,Vazante,2024-10-04,-104.542.783,-363.622.583,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
322568,Biota,Alagoas,Diário,Vazante,2024-10-04,-104.863.488,-363.815.249,Aves,Procellariiformes,Puffinus gravis,Sim,Arenoso,Morto,Piaçabuçu
322561,TAMAR,Sergipe,Diário,Vazante,2024-10-04,-109.129.215,-370.029.497,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
322425,TAMAR,Bahia,Diário,Cheia,2024-10-03,-120.680.133,-376.710.617,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto,Conde
322424,TAMAR,Bahia,Diário,Cheia,2024-10-03,-120.630.367,-376.686.167,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Conde
322402,Biota,Alagoas,Diário,Vazante,2024-10-03,-103.712.017,-363.132.117,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
322305,TAMAR,Sergipe,Diário,Vazante,2024-10-02,-109.129.496,-37.002.821,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Barra dos Coqueiros
322303,TAMAR,Bahia,Diário,Vazante,2024-10-02,-12.069.564,-376.716.281,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto,Conde
322177,TAMAR,Bahia,Diário,Vazante,2024-10-01,-1.202.364,-376.477.017,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Conde
322176,Biota,Alagoas,Diário,Vazante,2024-10-01,-104.486.133,-363.589.733,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
322154,TAMAR,Sergipe,Acionamento,Enchente,2024-09-30,-109.663.896,-370.365.858,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
322066,TAMAR,Bahia,Diário,Vazia,2024-09-30,-120.892.682,-376.815.079,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Conde
322026,Biota,Alagoas,Diário,Vazante,2024-09-30,-104.456.567,-3.635.727,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
322025,Biota,Alagoas,Diário,Vazante,2024-09-30,-10.402.295,-3.633.411,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
322021,TAMAR,Sergipe,Diário,Vazante,2024-09-30,-106.015.383,-366.346.183,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Brejo Grande
321874,FMA,Sergipe,Diário,Vazante,2024-09-29,-112.835.667,-372.566.417,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Estância
321828,Biota,Alagoas,Diário,Vazante,2024-09-29,-10.459.345,-363.654.717,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piaçabuçu
321804,TAMAR,Sergipe,Diário,Vazante,2024-09-28,-113.989.338,-373.114.929,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Estância
321744,TAMAR,Bahia,Diário,Vazante,2024-09-28,-118.316.646,-375.540.912,Reptilia,Testudines,Eretmochelys imbricata,Sim,Rochoso,Vivo,Conde
321732,TAMAR,Bahia,Diário,Vazante,2024-09-28,-118.316.646,-375.540.912,Reptilia,Testudines,Lepidochelys olivacea,Sim,Rochoso,Vivo,Conde
321720,TAMAR,Bahia,Diário,Vazia,2024-09-28,-118.316.646,-375.540.912,Reptilia,Testudines,Lepidochelys olivacea,Sim,Rochoso,Vivo,Conde
321710,TAMAR,Sergipe,Diário,Vazante,2024-09-28,-110.066.317,-37.059.495,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
321550,Biota,Alagoas,Diário,Vazante,2024-09-28,-10.418.055,-363.428.383,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Piaçabuçu
321549,Biota,Alagoas,Diário,Vazante,2024-09-28,-103.932.015,-363.286.496,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piaçabuçu
321481,TAMAR,Sergipe,Diário,Enchente,2024-09-27,-110.112.817,-3.706.292,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto,Aracaju
321414,TAMAR,Sergipe,Diário,Vazante,2024-09-27,-105.359,-36.49,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Vivo,Brejo Grande
